District,Thana,SubOffice,Post Code,location,coordinate
Rajbari,Pangsha,Pangsha,7720,"7720 Pangsha,Rajbari","23.7800218,89.412731"
Rajbari,Pangsha,Ramkol,7721,"7721 Ramkol,Rajbari","23.715134,89.5874819"
Rajbari,Pangsha,Ratandia,7722,"7722 Ratandia,Rajbari","23.7089829,89.5145823"
Rajbari,Rajbari Sadar,Goalanda,7710,"7710 Goalanda,Rajbari","23.7219232,89.7615426"
Rajbari,Rajbari Sadar,Khankhanapur,7711,"7711 Khankhanapur,Rajbari","23.6931466,89.7139717"
Rajbari,Rajbari Sadar,Rajbari Sadar,7700,"7700 Rajbari Sadar,Rajbari","23.7508165,89.6476476"
Shariatpur,Bhedorganj,Bhedorganj,8030,"8030 Bhedorganj,Shariatpur","23.1971305,90.44552"
Shariatpur,Damudhya,Damudhya,8040,"8040 Damudhya,Shariatpur","23.1390793,90.43962479999999"
Shariatpur,Gosairhat,Gosairhat,8050,"8050 Gosairhat,Shariatpur","23.0988395,90.45259539999999"
Shariatpur,Jajira,Jajira,8010,"8010 Jajira,Shariatpur","23.3334622,90.32171919999999"
Shariatpur,Naria,Bhozeshwar,8021,"8021 Bhozeshwar,Shariatpur","23.2578539,90.38706959999999"
Shariatpur,Naria,Gharisar,8022,"8022 Gharisar,Shariatpur","23.3042085,90.48327019999999"
Shariatpur,Naria,Kartikpur,8024,"8024 Kartikpur,Shariatpur","23.2357502,90.47618930000002"
Shariatpur,Naria,Naria,8020,"8020 Naria,Shariatpur","23.3059077,90.4090106"
Shariatpur,Naria,Upshi,8023,"8023 Upshi,Shariatpur","33.83036,77.8142127"
Shariatpur,Shariatpur Sadar,Angaria,8001,"8001 Angaria,Shariatpur","23.1929051,90.3209512"
Shariatpur,Shariatpur Sadar,Chikandi,8002,"8002 Chikandi,Shariatpur","23.2561658,90.3130647"
Shariatpur,Shariatpur Sadar,Shariatpur Sadar,8000,"8000 Shariatpur Sadar,Shariatpur","23.219547,90.34825119999999"
