,Place Name,Latitude,Longitude,Rating,User_Total_Rating,Types,Address,Place_ID,Compound_Code,Global_Code
862,Dimla Sadar Union Health and Family Welfare Center,26.1241891,88.91821209999999,5,2,"['hospital', 'health', 'point_of_interest', 'establishment']",Dimla Upazila,ChIJK-CbKFVn4zkR0dJ2XbifFp8,"4WF9+M7 Dimla, Bangladesh",7MRC4WF9+M7
863,Badalgachhi Upazila Health Complex,24.960727399999996,88.9057767,4.7,20,"['hospital', 'health', 'point_of_interest', 'establishment']","Naogaon - Badalgachhi Highway, Badalgachhi",ChIJa9BbyVmG_DkR7DYPncE-J3M,"XW64+78 Badalgachhi, Bangladesh",7MPCXW64+78
864,Saidpur Upazila Health Complex outdor,25.7836638,88.8953942,4.3,18,"['hospital', 'health', 'point_of_interest', 'establishment']",Saidpur,ChIJ7RrTeg5R4zkRu7Xx_Iu1knw,"QVMW+F5 Saidpur, Bangladesh",7MQCQVMW+F5
865,Union Health Complex,25.162194,88.8877489,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Jagddal Bihar Road,ChIJrSqj9Omb_DkRPakaUb0AyT0,"5V6Q+V3 Dhamoirhat, Bangladesh",7MQC5V6Q+V3
867,Daulatpur Upazila Health Complex,24.000880399999996,88.87459059999999,3.8,22,"['hospital', 'health', 'point_of_interest', 'establishment']",Daulatpur,ChIJredXm4iu_jkRO1SCu-JGwD8,"2V2F+9R Daulatpur, Bangladesh",7MPC2V2F+9R
868,Jamnagar Health Complex,24.317193600000003,88.8683827,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","বাগাটিপাড়া উপজেলা, Jamnagar Bazar, Bagatipara Road",ChIJJVi8R-MF_DkRqYJM6H0IiJY,"8V89+V9 Jamnagar, Bangladesh",7MPC8V89+V9
870,Upzila Health Complex Doulatpur Manikgonj,24.0295078,88.86639100000001,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Daulatpur Upazila Road hospatil uapajala health complex, Dhaka",ChIJY4qnGoqv_jkRiSauE_FG_os,"2VH8+RH Daulatpur, Bangladesh",7MPC2VH8+RH
872,Dhokrakul Health Complex,24.448439399999998,88.8625825,5,3,"['hospital', 'health', 'point_of_interest', 'establishment']",Dhokrakul,ChIJ0UIjYasL_DkRs2LkkdpPilc,"CVX7+92 Dhokrakul, Bangladesh",7MPCCVX7+92
874,"Upazila Health Complex, Nilphamari Sadar, Nilphamari",25.931838100000004,88.8537574,4.2,5,"['hospital', 'health', 'point_of_interest', 'establishment']",Nilphamari,ChIJkV8KlU9Z4zkR5uUxP_1x2lQ,"WVJ3+PG Nilphamari, Bangladesh",7MQCWVJ3+PG
875,Domar Upazila Health Complex,26.114052800000003,88.85360229999999,not found,not found,"['hospital', 'premise', 'health', 'point_of_interest', 'establishment']",not found,ChIJXTDG4EVh4zkRK91r27aguaE,not found,not found
877,Dhamoirhat Upazila Health Complex,25.1508143,88.85167309999999,3,3,"['hospital', 'health', 'point_of_interest', 'establishment']",Dhamoirhat,ChIJWxSBFm-c_DkRHKVQJf-4waU,"5V22+8M Dhamoirhat, Bangladesh",7MQC5V22+8M
880,Upazila Health Complex,23.635207100000002,88.8456342,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Hospital Para, Chuadanga",ChIJ5VNNpY3N_jkRRgxWLUpB9P4,"JRPW+37 Chuadanga, Bangladesh",7MMCJRPW+37
882,Bagha Upazilla Health Complex,24.198711499999998,88.8377509,5,6,"['hospital', 'health', 'point_of_interest', 'establishment']",Bagha,ChIJ_wJp1w8B_DkRLHXtsZNF_hE,"5RXQ+F4 Bagha, Bangladesh",7MPC5RXQ+F4
883,Puthia Upazila Health Complex,24.3715361,88.83679000000001,4,13,"['hospital', 'health', 'point_of_interest', 'establishment']","N6, Puthia Bazar",ChIJs338XuMI_DkRGlFmZjGHocw,"9RCP+JP Puthia Bazar, Bangladesh",7MPC9RCP+JP
885,Jibannagar Upazila Health Complex,23.425840899999997,88.823043,3.6,7,"['hospital', 'health', 'point_of_interest', 'establishment']","Jibannagar Upazila Health Complex, near Jibannagar Darsana Rd,, Jibannagar - Darsana Road, জীবননগর",ChIJq6qqNv7U_jkR0PWwBvZIqls,"CRGF+86 Jibannagar, Bangladesh",7MMCCRGF+86
886,Bhabaniganj Health Complex,24.583844600000003,88.82140279999999,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Bagmara Upazila,ChIJT8RLwhh1_DkR8wfneTSgpDk,"HRMC+GH Bagmara, Bangladesh",7MPCHRMC+GH
887,Bagmara Health Complex,24.559531,88.80411629999999,4.8,8,"['hospital', 'health', 'point_of_interest', 'establishment']","Z6004, Tahirpur",ChIJc_rIonN1_DkR9psX3idIY5M,"HR53+RJ Tahirpur, Bangladesh",7MPCHR53+RJ
888,Talpatila Health Complex,24.713489199999998,88.7916501,5,2,"['hospital', 'health', 'point_of_interest', 'establishment']",Manda Pajorvanga-Mithapukur Road,ChIJASl7bAF4_DkRGn1IbTPLpmo,"PQ7R+9M Talpatila, Bangladesh",7MPCPQ7R+9M
889,Kanshopara Health Center. Kanshopara Health Complex.,24.7555487,88.7848252,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Manda Upazila,ChIJJyff0zqH-zkRmsWEwy9mP8Q,"QQ4M+6W Bharat Katirdanga, Bangladesh",7MPCQQ4M+6W
890,"Upazila Health Complex, Pakerhat, Khansama",25.8677373,88.7811036,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Paker Hat,ChIJM_r8Ecmn5DkRXEo8ANk_XJg,"VQ9J+3C Pakerhat, Bangladesh",7MQCVQ9J+3C
891,Chirirbandar Upazila Health Complex,25.650753299999998,88.773061,4,4,"['hospital', 'health', 'point_of_interest', 'establishment']","Hospital Road, Chirirbandar, Chirirbandar",ChIJJwLBTklV-zkRi5YKpt-5VRw,"MQ2F+86 Chirirbandar, Bangladesh",7MQCMQ2F+86
892,"Upazila Health Complex, Pakerhat, Khansama",25.8784815,88.7656547,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Paker Hat, Pakerhat",ChIJ-UnrTf-n5DkRBT3RQV0XJqw,"VQH8+97 Pakerhat, Bangladesh",7MQCVQH8+97
893,Upazila Health Complex,23.6134439,88.76341049999999,4.5,2,"['hospital', 'health', 'point_of_interest', 'establishment']","Karpasdanga - Aramdanga Road, কার্পাশডাঙ্গা",ChIJEfEQI-Iy-TkRjIPz-A8kecg,"JQ77+99 Damurhuda, Bangladesh",7MMCJQ77+99
894,Upazila Health Complex - Damurhuda (Chitla),23.6137802,88.763111,4,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Damurhuda Upazila,ChIJPauV-BYz-TkRNVizzFJOREU,"JQ77+G6 Damurhuda, Bangladesh",7MMCJQ77+G6
