Place Name,Latitude,Longitude,Rating,User_Total_Rating,Types,Address,Place_ID
ইসমানির চর কমিউনিটি ক্লিনিক,23.558982,90.589139,4.3,3,"['hospital', 'health', 'point_of_interest', 'establishment']","গজারিয়া উপজেলা, ইামানির চর কমিউনিটি ক্লিনিক গজারিয়া",ChIJpceU2kStVTcRkKHTdVTKJuk
Apollo Plus Hospital,23.5317463,90.7171821,4,9,"['hospital', 'health', 'point_of_interest', 'establishment']",Daudkandi,ChIJ5StJDlNQVDcREozWXyuT1Gc
"অ্যাপোলো প্লাস হসপিটাল, মমতাজ ভবন",23.5314703,90.7170521,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",N1,ChIJy6d5CQ1RVDcRbPUe-n8hRW0
জনতা ডায়াগনিষ্টিক সেন্টার,23.5386029,90.7167344,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Daudkandi,ChIJKd4j4kxQVDcR4TvBGRoP6p4
ইপিআই টিকাদান কেন্দ্র,23.5388854,90.7329401,4,1,"['hospital', 'health', 'point_of_interest', 'establishment']","prodhan bari rode, Daudkandi",ChIJQ7cV115RVDcRdMBbvoIHeWA
New Janani Diagonostic Center. নিউ জননী ডায়াগনস্টিক সেন্টার,23.5378789,90.7136949,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']","Daudkandi Bazar Road, Daudkandi",ChIJwZVNKzxRVDcR5A3uiaNF_O0
Family Hospital,23.5356777,90.7121855,4.6,5,"['hospital', 'health', 'point_of_interest', 'establishment']","Daudkandi Bazar Road, Daudkandi",ChIJHffcG11RVDcRuCtcrjM1c_Y
Alham Hospital,23.5357639,90.7121981,1,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Daudkandi,ChIJTYxKQbJRVDcRlzPKTt4HS34
Doctors Care,23.5350637,90.7120467,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Daudkandi Upazila,ChIJfb3giFZRVDcRgTDfpQbFoUg
এলহাম হাসপাতাল,23.5374386,90.7119632,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","পৌড়সভা, দোনারচর রোড, দাউদকান্দি",ChIJHQf04D1RVDcRkWkoi03AMBU
Trauma Center,23.5286481,90.7549828,3.1,7,"['hospital', 'health', 'point_of_interest', 'establishment']","N1, Barpara",ChIJD8fdj4FaVDcR7L-OtTVqqdc
Surjer Hashi Clinic (SHN) 151,23.5253091,90.7558895,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Daudkandi Upazila,ChIJzx56t3hbVDcRxHnvBbPdztc
Eliotgonj Apollo Hospital,23.513469,90.8691675,5,2,"['hospital', 'health', 'point_of_interest', 'establishment']","Bangladesh, Eliotganj",ChIJ-0R3G61dVDcRooHLQqCJpE8
